isbn,Title,Author,Genres,Description,Language,Total Copies,available_copies
9780000000479,Image public easy,Jason Frey,Self-Help;Children;Fiction,Laugh laugh red.,English,7,1
9780000000480,Church effort,Michele Brown,Non-Fiction;Children;Young Adult,People happen group.,Japanese,12,3
9780000000481,Response attorney,Douglas Kirby,Mystery;Children,Eye similar instead kitchen best sell. Reach relate husband receive.,French,16,7
9780000000482,Course for total drug,Jennifer Collins,Non-Fiction;Young Adult;Historical,Guy natural minute dinner compare understand fire. Surface learn national position.,Spanish,8,2
9780000000483,Have,Dominique Moreno,Children,Likely per attorney painting state.,German,14,9
9780000000484,Detail main officer,Sharon Winters,Self-Help;Philosophy;Historical,Radio key data.,French,7,6
9780000000485,Let once during cup against evening,Toni Clay,Historical;Fiction,Region seek short born toward.,Japanese,18,15
9780000000486,Herself,Michelle Gibbs,Historical;Thriller,Goal since environment not increase.,Spanish,5,4
9780000000487,Compare like,Jacqueline Edwards,Horror;Mystery,From usually contain heart it newspaper.,Portuguese,9,4
9780000000488,Area those challenge continue,Joseph Vasquez,Fiction;Horror,Young ability forward employee popular.,German,18,2
9780000000489,Poor have because,Michael Clark,Horror;Science Fiction,Cold life lay control remain table manage.,Japanese,14,10
9780000000490,Court message produce security each,Bonnie Campos,Biography,Coach play television issue.,English,11,11
9780000000491,Yet ball south short,Molly Williams,Thriller;Poetry;Science Fiction,Director science star pick each dream beat.,English,11,6
9780000000492,Eye black human,Jeremiah Stevenson,Historical;Mystery;Horror,Picture commercial whether amount. Statement according smile hair eight loss speech.,French,6,6
9780000000493,Eye staff all,Robin Wade,Science Fiction;Horror;Young Adult,Congress commercial either five affect view teach.,French,12,10
9780000000494,Personal visit glass,Kerry Arroyo,Science Fiction;Horror,Radio model air dark from whom hold.,English,13,6
9780000000495,True middle may tree window,Jaime Jackson,Fantasy,Old cultural occur half believe population. Type movie onto west.,German,20,6
9780000000496,Power bar wind develop road,Kevin Joyce,Science Fiction;Fantasy,Activity thought doctor development. Federal perform cover for.,French,17,3
9780000000497,Ask however much,James Duncan,Romance,Already money weight take national. Special dinner apply article.,French,16,5
9780000000498,Expect third place field,Jennifer Montgomery,Self-Help,Shake look perhaps.,Chinese,10,0
9780000000499,Space fire give turn daughter likely always,Jason Brewer,Fiction;Biography,Conference laugh glass rich last democratic. Word how effect opportunity in near machine.,Portuguese,7,4
9780000000500,Seek whatever great house hear,David Andrade,Poetry;Self-Help,Onto more whom quite talk night week adult.,Arabic,7,7
